data;Tem_max;Tem_min;Chuva;Ano;Meses
01/01/1980;25;11;0;1980;1
02/01/1980;28,2;12,1;0;1980;1
03/01/1980;30,5;14,8;0;1980;1
04/01/1980;31,9;18,7;0;1980;1
05/01/1980;31,8;18,1;0;1980;1
06/01/1980;30,2;18,2;0;1980;1
07/01/1980;29,8;21,1;0;1980;1
08/01/1980;28,2;21,4;5,9;1980;1
09/01/1980;32;19,1;0;1980;1
10/01/1980;32,7;20,1;0;1980;1
11/01/1980;31,9;17,5;0;1980;1
12/01/1980;32,9;17,7;0;1980;1
13/01/1980;31,7;20,1;0;1980;1
14/01/1980;31,1;19,2;0;1980;1
15/01/1980;31,7;20,7;0;1980;1
16/01/1980;32,7;20,6;0;1980;1
17/01/1980;33,6;20,4;0;1980;1
18/01/1980;31,7;18,7;15,3;1980;1
19/01/1980;32,5;20,5;0;1980;1
20/01/1980;30,1;20,2;3,4;1980;1
21/01/1980;32,5;18,6;8,4;1980;1
22/01/1980;34,4;21,5;0;1980;1
23/01/1980;33,5;22,5;0;1980;1
24/01/1980;31,8;22;0,1;1980;1
25/01/1980;29,2;20,3;8,8;1980;1
26/01/1980;31,7;18,8;0;1980;1
27/01/1980;31;20,7;0;1980;1
28/01/1980;27,8;20,6;7;1980;1
29/01/1980;32,3;20,9;1,2;1980;1
30/01/1980;27,7;21,5;37,8;1980;1
31/01/1980;30,3;20,6;0;1980;1
01/02/1980;31,6;20;4,2;1980;2
02/02/1980;32,5;20,1;0;1980;2
03/02/1980;32;20,9;0;1980;2
04/02/1980;32,6;19,9;0;1980;2
05/02/1980;33,4;19,5;0;1980;2
06/02/1980;31,5;20,1;12,5;1980;2
07/02/1980;29,9;21,1;1,6;1980;2
08/02/1980;31,8;18,7;22;1980;2
09/02/1980;32,3;22,3;0;1980;2
10/02/1980;28,5;21,6;7;1980;2
11/02/1980;28,3;21,1;10,9;1980;2
12/02/1980;33,4;21,2;0;1980;2
13/02/1980;32,1;20,7;0;1980;2
14/02/1980;32,1;21,2;0,1;1980;2
15/02/1980;30,4;20,7;0;1980;2
16/02/1980;29,6;19,6;0;1980;2
17/02/1980;32,3;19,9;0;1980;2
18/02/1980;31,1;18,2;8;1980;2
19/02/1980;31,9;19,5;0;1980;2
20/02/1980;30,7;17,6;0,2;1980;2
21/02/1980;31,8;20,4;0;1980;2
22/02/1980;30,4;19,7;0;1980;2
23/02/1980;30,7;20,4;20;1980;2
24/02/1980;30,3;21,8;1,7;1980;2
25/02/1980;27,7;21,5;7,7;1980;2
26/02/1980;25,3;21,1;0,4;1980;2
27/02/1980;28;20,9;9,5;1980;2
28/02/1980;28,6;21;9,8;1980;2
29/02/1980;29,6;20,4;15,3;1980;2
01/03/1980;30,9;21,9;0,7;1980;3
02/03/1980;32,3;20;12,8;1980;3
03/03/1980;32,6;19,5;1,8;1980;3
04/03/1980;30,9;18,8;11,8;1980;3
05/03/1980;31,7;19,5;0;1980;3
06/03/1980;31,5;19,2;3,2;1980;3
07/03/1980;32,8;20,6;0;1980;3
08/03/1980;32,6;19,5;0,2;1980;3
09/03/1980;33,7;20,7;0;1980;3
10/03/1980;33,7;21,6;0,1;1980;3
11/03/1980;34,9;21,6;0;1980;3
12/03/1980;33,5;20,8;3,5;1980;3
13/03/1980;29,4;21,7;0;1980;3
14/03/1980;30,3;20,7;3;1980;3
15/03/1980;29,7;18,9;0;1980;3
16/03/1980;29,7;18,7;0;1980;3
17/03/1980;30,5;17,8;0;1980;3
18/03/1980;31,9;17,9;0;1980;3
